name	support	dist	leaves	sample1_sum	sample1_min	sample1_max	sample1_mean	sample1_variance	sample2_sum	sample2_min	sample2_max	sample2_mean	sample2_variance	sample3_sum	sample3_min	sample3_max	sample3_mean	sample3_variance	sample4_sum	sample4_min	sample4_max	sample4_mean	sample4_variance	sample5_sum	sample5_min	sample5_max	sample5_mean	sample5_variance	random_type_counter	taxid	sci_name	common_name	lineage	rank	named_lineage	nleaves	sample1	sample2	sample3	sample4	sample5	random_type
g__DRZQ01	1.0	1.0	5	2.87	0.1	0.93	0.5740000000000001		3.5199999999999996	0.36	0.95	0.704		3.04	0.26	0.96	0.608		2.82	0.18	0.94	0.564		2.02	0.01	0.89	0.404		medium--2||low--2||high--1	g__DRZQ01	g__DRZQ01		1;2;79;80;1702;1703;3085	genus	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__DRZQ01	5						
g__Thermofilum_C	1.0	1.0	6	3.45	0.24	0.83	0.5750000000000001		3.2399999999999998	0.01	0.88	0.5399999999999999		2.67	0.33	0.56	0.445		3.9400000000000004	0.41	0.8	0.6566666666666667		3.0300000000000002	0.22	0.87	0.505		low--2||high--3||medium--1	g__Thermofilum_C	g__Thermofilum_C		1;2;79;80;1702;1703;3803	genus	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__Thermofilum_C	6						
g__Thermofilum_A	1.0	1.0	2	0.83	0.12	0.71	0.415		0.75	0.05	0.7	0.375		0.6000000000000001	0.2	0.4	0.30000000000000004		0.55	0.16	0.39	0.275		0.75	0.34	0.41	0.375		medium--1||low--1	g__Thermofilum_A	g__Thermofilum_A		1;2;79;80;1702;1703;5168	genus	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__Thermofilum_A	2						
s__B9-G17 sp003649225	1.0	1.0	2	1.04	0.12	0.92	0.52		0.75	0.24	0.51	0.375		0.93	0.13	0.8	0.465		0.19	0.04	0.15	0.095		1.44	0.48	0.96	0.72		high--2	s__B9-G17 sp003649225	s__B9-G17 sp003649225		1;2;79;80;1702;3789;3790;3791	species	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B9-G17;g__B9-G17;s__B9-G17 sp003649225	2						
g__B15-G2	1.0	1.0	3	2.35	0.63	0.89	0.7833333333333333		2.3	0.67	0.93	0.7666666666666666		1.13	0.04	0.59	0.37666666666666665		2.09	0.42	0.92	0.6966666666666667		1.8200000000000003	0.28	0.88	0.6066666666666668		high--1||medium--1||low--1	g__B15-G2	g__B15-G2		1;2;79;80;1702;3848;3849	genus	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B15-G2;g__B15-G2	3						
s__B14-G17 sp003649515	1.0	1.0	2	1.27	0.4	0.87	0.635		1.81	0.89	0.92	0.905		1.07	0.44	0.63	0.535		1.13	0.37	0.76	0.565		1.02	0.39	0.63	0.51		low--2	s__B14-G17 sp003649515	s__B14-G17 sp003649515		1;2;79;80;1702;4055;4056;4057	species	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B20-G17;g__B14-G17;s__B14-G17 sp003649515	2						
GB_GCA_003650785.1	1.0	1.0	1	0.63	0.63	0.63	0.63		0.46	0.46	0.46	0.46		0.15	0.15	0.15	0.15		0.21	0.21	0.21	0.21		0.86	0.86	0.86	0.86		low--1	GB_GCA_003650785.1	GB_GCA_003650785.1		1;2;79;80;1702;4055;5765;5766;5767	subspecies	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B20-G17;g__B20-G17;s__B20-G17 sp003650785;GB_GCA_003650785.1	1						
GB_GCA_003650675.1	1.0	1.0	1	0.73	0.73	0.73	0.73		0.45	0.45	0.45	0.45		0.86	0.86	0.86	0.86		0.79	0.79	0.79	0.79		0.05	0.05	0.05	0.05		high--1	GB_GCA_003650675.1	GB_GCA_003650675.1		1;2;79;80;1702;4055;7944;7945;7946	subspecies	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B20-G17;g__B67-G16;s__B67-G16 sp003650675;GB_GCA_003650675.1	1						
GB_GCA_002254595.1	1.0	1.0	1	0.47	0.47	0.47	0.47		0.3	0.3	0.3	0.3		0.61	0.61	0.61	0.61		0.48	0.48	0.48	0.48		0.96	0.96	0.96	0.96		medium--1	GB_GCA_002254595.1	GB_GCA_002254595.1		1;2;79;80;1702;7044;7045;7046;7047	subspecies	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__EX4484-15;g__EX4484-15;s__EX4484-15 sp002254595;GB_GCA_002254595.1	1						
GB_GCA_003649235.1	1.0	1.0	1	0.81	0.81	0.81	0.81		0.89	0.89	0.89	0.89		0.52	0.52	0.52	0.52		0.09	0.09	0.09	0.09		0.04	0.04	0.04	0.04		high--1	GB_GCA_003649235.1	GB_GCA_003649235.1		1;2;79;80;1702;7358;7359;7360;7361	subspecies	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B69-G16;g__B69-G16;s__B69-G16 sp003649235;GB_GCA_003649235.1	1						
s__B12-G16 sp003650925	1.0	1.0	2	1.62	0.79	0.83	0.81		0.89	0.1	0.79	0.445		0.33999999999999997	0.16	0.18	0.16999999999999998		1.14	0.57	0.57	0.57		1.3599999999999999	0.39	0.97	0.6799999999999999		high--2	s__B12-G16 sp003650925	s__B12-G16 sp003650925		1;2;79;80;3109;3110;3111;3112	species	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__QMSL01;f__QMSL01;g__B12-G16;s__B12-G16 sp003650925	2						
s__B3-G16 sp003649665	1.0	1.0	2	1.63	0.73	0.9	0.815		0.5	0.13	0.37	0.25		1.53	0.54	0.99	0.765		1.3	0.56	0.74	0.65		1.21	0.4	0.81	0.605		low--1||high--1	s__B3-G16 sp003649665	s__B3-G16 sp003649665		1;2;79;80;3109;3110;3817;3818	species	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__QMSL01;f__QMSL01;g__B3-G16;s__B3-G16 sp003649665	2						
GB_GCA_002254745.1	1.0	1.0	1	0.72	0.72	0.72	0.72		0.31	0.31	0.31	0.31		0.17	0.17	0.17	0.17		0.14	0.14	0.14	0.14		0.45	0.45	0.45	0.45		medium--1	GB_GCA_002254745.1	GB_GCA_002254745.1		1;2;79;80;6287;6288;6289;6290;6291	subspecies	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__EX4484-217-1;f__EX4484-217-1;g__EX4484-217-1;s__EX4484-217-1 sp002254745;GB_GCA_002254745.1	1						
GB_GCA_011375895.1	1.0	1.0	1	0.45	0.45	0.45	0.45		0.79	0.79	0.79	0.79		0.32	0.32	0.32	0.32		0.97	0.97	0.97	0.97		0.87	0.87	0.87	0.87		medium--1	GB_GCA_011375895.1	GB_GCA_011375895.1		1;2;79;80;6287;6288;7090;7091;7092	subspecies	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__EX4484-217-1;f__EX4484-217-1;g__DRYM01;s__DRYM01 sp011375895;GB_GCA_011375895.1	1						
g__Nitrosotenuis	1.0	1.0	26	13.120000000000001	0.12	0.98	0.5046153846153847		13.25	0.01	0.95	0.5096153846153846		14.350000000000001	0.06	0.99	0.551923076923077		12.82	0.04	1.0	0.4930769230769231		12.469999999999999	0.07	0.98	0.47961538461538455		high--9||medium--7||low--10	g__Nitrosotenuis	g__Nitrosotenuis		1;2;79;549;550;551;552	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis	26						
g__Nitrosopumilus	1.0	1.0	81	39.65	0.01	0.98	0.48950617283950615		39.46999999999999	0.01	0.96	0.48728395061728386		40.54	0.01	0.96	0.5004938271604938		41.46	0.0	0.98	0.5118518518518519		37.660000000000004	0.03	0.94	0.46493827160493834		high--29||low--27||medium--25	g__Nitrosopumilus	g__Nitrosopumilus		1;2;79;549;550;551;691	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus	81						
g__VYCS01	1.0	1.0	12	8.32	0.14	0.99	0.6933333333333334		5.489999999999999	0.01	0.85	0.45749999999999996		6.870000000000001	0.19	0.91	0.5725000000000001		5.95	0.0	0.94	0.49583333333333335		6.02	0.01	0.98	0.5016666666666666		high--4||low--5||medium--3	g__VYCS01	g__VYCS01		1;2;79;549;550;551;789	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__VYCS01	12						
g__Nitrosopelagicus	1.0	1.0	35	15.819999999999999	0.02	0.96	0.45199999999999996		16.61	0.0	0.96	0.47457142857142853		18.28	0.01	0.99	0.5222857142857144		18.95	0.07	0.98	0.5414285714285714		19.970000000000002	0.04	0.99	0.5705714285714286		high--15||medium--10||low--10	g__Nitrosopelagicus	g__Nitrosopelagicus		1;2;79;549;550;551;1075	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus	35						
g__JACEMX01	1.0	1.0	9	4.79	0.11	1.0	0.5322222222222223		4.55	0.22	0.82	0.5055555555555555		4.97	0.21	0.76	0.5522222222222222		4.83	0.06	1.0	0.5366666666666666		3.7300000000000004	0.0	0.81	0.4144444444444445		low--1||medium--5||high--3	g__JACEMX01	g__JACEMX01		1;2;79;549;550;551;1572	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__JACEMX01	9						
g__Nitrosotalea	1.0	1.0	17	6.67	0.08	0.95	0.39235294117647057		7.74	0.04	0.96	0.45529411764705885		9.11	0.04	1.0	0.5358823529411765		9.32	0.05	1.0	0.548235294117647		7.0	0.0	0.83	0.4117647058823529		high--7||low--5||medium--5	g__Nitrosotalea	g__Nitrosotalea		1;2;79;549;550;551;1585	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotalea	17						
g__Nitrosarchaeum	1.0	1.0	17	8.08	0.15	0.99	0.4752941176470588		8.03	0.01	0.96	0.47235294117647053		9.6	0.05	0.99	0.5647058823529412		7.3500000000000005	0.02	0.95	0.4323529411764706		8.61	0.09	0.98	0.5064705882352941		high--7||medium--5||low--5	g__Nitrosarchaeum	g__Nitrosarchaeum		1;2;79;549;550;551;1620	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum	17						
g__PXYB01	1.0	1.0	5	2.2399999999999998	0.03	0.74	0.44799999999999995		4.22	0.46	1.0	0.844		2.48	0.08	0.91	0.496		2.42	0.32	0.59	0.484		3.3400000000000003	0.4	0.93	0.668		medium--2||high--1||low--2	g__PXYB01	g__PXYB01		1;2;79;549;550;551;1926	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__PXYB01	5						
g__Cenarchaeum	1.0	1.0	5	2.77	0.3	0.96	0.554		2.6899999999999995	0.33	0.72	0.5379999999999999		2.51	0.08	0.98	0.502		3.0999999999999996	0.32	0.83	0.6199999999999999		3.26	0.27	0.92	0.6519999999999999		low--3||high--1||medium--1	g__Cenarchaeum	g__Cenarchaeum		1;2;79;549;550;551;2453	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Cenarchaeum	5						
s__WTHC01 sp011523285	1.0	1.0	2	1.5699999999999998	0.75	0.82	0.7849999999999999		1.03	0.04	0.99	0.515		1.3399999999999999	0.61	0.73	0.6699999999999999		1.47	0.72	0.75	0.735		0.52	0.17	0.35	0.26		low--1||medium--1	s__WTHC01 sp011523285	s__WTHC01 sp011523285		1;2;79;549;550;551;3424;3425	species	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__WTHC01;s__WTHC01 sp011523285	2						
g__TA-20	1.0	1.0	5	3.67	0.34	0.99	0.734		2.6500000000000004	0.29	0.72	0.53		2.75	0.13	0.93	0.55		1.48	0.16	0.44	0.296		3.25	0.01	0.95	0.65		high--1||low--2||medium--2	g__TA-20	g__TA-20		1;2;79;549;550;551;3518	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__TA-20	5						
GB_GCA_002781805.1	1.0	1.0	1	0.34	0.34	0.34	0.34		0.89	0.89	0.89	0.89		0.59	0.59	0.59	0.59		0.35	0.35	0.35	0.35		0.06	0.06	0.06	0.06		high--1	GB_GCA_002781805.1	GB_GCA_002781805.1		1;2;79;549;550;551;5043;5044;5045	subspecies	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum_A;s__Nitrosarchaeum_A sp002781805;GB_GCA_002781805.1	1						
g__CSP1-1	1.0	1.0	2	1.12	0.25	0.87	0.56		0.42000000000000004	0.03	0.39	0.21000000000000002		1.05	0.29	0.76	0.525		1.11	0.22	0.89	0.555		1.4500000000000002	0.56	0.89	0.7250000000000001		high--1||medium--1	g__CSP1-1	g__CSP1-1		1;2;79;549;550;551;5680	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__CSP1-1	2						
GB_GCA_013330055.1	1.0	1.0	1	0.1	0.1	0.1	0.1		0.76	0.76	0.76	0.76		0.68	0.68	0.68	0.68		0.68	0.68	0.68	0.68		0.28	0.28	0.28	0.28		high--1	GB_GCA_013330055.1	GB_GCA_013330055.1		1;2;79;549;550;551;5922;5923;5924	subspecies	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__UBA8516;s__UBA8516 sp8516u;GB_GCA_013330055.1	1						
GB_GCA_011055585.1	1.0	1.0	1	0.59	0.59	0.59	0.59		0.48	0.48	0.48	0.48		0.83	0.83	0.83	0.83		0.57	0.57	0.57	0.57		0.52	0.52	0.52	0.52		high--1	GB_GCA_011055585.1	GB_GCA_011055585.1		1;2;79;549;550;551;6319;6320;6321	subspecies	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__DRGT01;s__DRGT01 sp011055585;GB_GCA_011055585.1	1						
g__Nitrososphaera	1.0	1.0	14	8.43	0.1	0.94	0.6021428571428571		6.7299999999999995	0.03	0.99	0.4807142857142857		5.8500000000000005	0.11	0.91	0.41785714285714287		8.190000000000001	0.07	0.96	0.5850000000000001		8.06	0.07	0.93	0.5757142857142857		high--6||medium--5||low--3	g__Nitrososphaera	g__Nitrososphaera		1;2;79;549;550;918;919	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera	14						
g__UBA10452	1.0	1.0	9	4.24	0.0	0.81	0.47111111111111115		5.01	0.28	0.9	0.5566666666666666		4.12	0.03	0.88	0.4577777777777778		3.6599999999999997	0.04	0.78	0.4066666666666666		4.54	0.03	0.97	0.5044444444444445		medium--3||low--2||high--4	g__UBA10452	g__UBA10452		1;2;79;549;550;918;1193	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__UBA10452	9						
g__TA-21	1.0	1.0	7	3.61	0.11	0.84	0.5157142857142857		2.46	0.01	0.8	0.3514285714285714		2.98	0.05	0.81	0.4257142857142857		4.5200000000000005	0.34	0.9	0.6457142857142858		3.9299999999999997	0.31	0.95	0.5614285714285714		low--3||high--2||medium--2	g__TA-21	g__TA-21		1;2;79;549;550;918;2478	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21	7						
g__Nitrosocosmicus	1.0	1.0	11	5.169999999999999	0.08	0.96	0.4699999999999999		6.06	0.14	0.87	0.5509090909090909		5.849999999999999	0.01	0.96	0.5318181818181817		5.4799999999999995	0.06	0.98	0.4981818181818181		6.499999999999999	0.21	1.0	0.5909090909090908		high--3||low--6||medium--2	g__Nitrosocosmicus	g__Nitrosocosmicus		1;2;79;549;550;918;4030	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrosocosmicus	11						
g__TH5896	1.0	1.0	4	0.34	0.01	0.19	0.085		1.56	0.0	0.67	0.39		1.35	0.13	0.87	0.3375		2.33	0.12	0.98	0.5825		1.19	0.02	0.82	0.2975		low--3||high--1	g__TH5896	g__TH5896		1;2;79;549;550;918;4693	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH5896	4						
g__TH1177	1.0	1.0	2	0.71	0.09	0.62	0.355		1.08	0.22	0.86	0.54		0.38	0.1	0.28	0.19		0.27	0.13	0.14	0.135		1.44	0.58	0.86	0.72		high--1||low--1	g__TH1177	g__TH1177		1;2;79;549;550;918;6037	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH1177	2						
GB_GCA_013114725.1	1.0	1.0	1	0.15	0.15	0.15	0.15		0.88	0.88	0.88	0.88		0.95	0.95	0.95	0.95		0.07	0.07	0.07	0.07		0.75	0.75	0.75	0.75		low--1	GB_GCA_013114725.1	GB_GCA_013114725.1		1;2;79;549;550;918;6046;6047;6048	subspecies	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__QCWD01;s__QCWD01 sp013114725;GB_GCA_013114725.1	1						
GB_GCA_014523685.1	1.0	1.0	1	0.05	0.05	0.05	0.05		0.81	0.81	0.81	0.81		0.98	0.98	0.98	0.98		0.16	0.16	0.16	0.16		0.11	0.11	0.11	0.11		high--1	GB_GCA_014523685.1	GB_GCA_014523685.1		1;2;79;549;550;918;6247;6248;6249	subspecies	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH5893;s__TH5893 sp014523685;GB_GCA_014523685.1	1						
g__UBA57	1.0	1.0	14	8.1	0.18	0.99	0.5785714285714285		6.2	0.01	0.83	0.4428571428571429		6.41	0.05	1.0	0.45785714285714285		7.8	0.07	1.0	0.5571428571428572		5.67	0.04	0.9	0.40499999999999997		medium--5||low--6||high--3	g__UBA57	g__UBA57		1;2;79;549;550;1224;1225	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA57;g__UBA57	14						
g__Nitrosocaldus	1.0	1.0	10	3.9999999999999996	0.01	0.93	0.39999999999999997		6.5	0.14	0.93	0.65		6.379999999999999	0.14	1.0	0.6379999999999999		6.06	0.25	0.98	0.606		5.449999999999999	0.1	0.86	0.5449999999999999		medium--7||high--2||low--1	g__Nitrosocaldus	g__Nitrosocaldus		1;2;79;549;550;1658;1659	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosocaldaceae;g__Nitrosocaldus	10						
s__JACAFH01 sp013538715	1.0	1.0	2	1.3900000000000001	0.48	0.91	0.6950000000000001		0.8200000000000001	0.26	0.56	0.41000000000000003		0.89	0.09	0.8	0.445		0.81	0.37	0.44	0.405		0.9400000000000001	0.39	0.55	0.47000000000000003		low--1||high--1	s__JACAFH01 sp013538715	s__JACAFH01 sp013538715		1;2;79;549;550;1658;3390;3391	species	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosocaldaceae;g__JACAFH01;s__JACAFH01 sp013538715	2						
g__UBA183	1.0	1.0	7	3.9699999999999998	0.13	0.94	0.5671428571428571		4.32	0.28	0.89	0.6171428571428572		3.42	0.05	0.94	0.48857142857142855		4.0200000000000005	0.29	0.82	0.5742857142857144		3.54	0.06	0.94	0.5057142857142857		low--3||high--3||medium--1	g__UBA183	g__UBA183		1;2;79;549;550;2375;2376	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA183;g__UBA183	7						
g__BOG-1369	1.0	1.0	3	1.4899999999999998	0.17	0.73	0.4966666666666666		1.1099999999999999	0.03	0.62	0.36999999999999994		1.6800000000000002	0.11	0.92	0.56		1.52	0.28	0.62	0.5066666666666667		1.2600000000000002	0.26	0.67	0.4200000000000001		high--3	g__BOG-1369	g__BOG-1369		1;2;79;549;550;2375;3785	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA183;g__BOG-1369	3						
RS_GCF_902812495.1	1.0	1.0	1	0.88	0.88	0.88	0.88		0.34	0.34	0.34	0.34		0.07	0.07	0.07	0.07		0.04	0.04	0.04	0.04		0.22	0.22	0.22	0.22		low--1	RS_GCF_902812495.1	RS_GCF_902812495.1		1;2;79;549;550;2375;6607;6608;6609	subspecies	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA183;g__CADDZR01;s__CADDZR01 sp902812495;RS_GCF_902812495.1	1						
g__UBA213	1.0	1.0	4	2.84	0.31	0.97	0.71		1.62	0.01	0.91	0.405		2.88	0.39	0.99	0.72		2.12	0.0	1.0	0.53		2.08	0.17	0.79	0.52		medium--2||low--2	g__UBA213	g__UBA213		1;2;79;549;550;2575;2576	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA213;g__UBA213	4						
g__JACAEJ01	1.0	1.0	2	0.6900000000000001	0.17	0.52	0.34500000000000003		0.59	0.12	0.47	0.295		1.47	0.49	0.98	0.735		0.7	0.35	0.35	0.35		0.39	0.06	0.33	0.195		low--1||high--1	g__JACAEJ01	g__JACAEJ01		1;2;79;549;550;5005;5006	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__JACAEJ01;g__JACAEJ01	2						
g__JAAOZN01	1.0	1.0	2	1.1800000000000002	0.38	0.8	0.5900000000000001		1.17	0.51	0.66	0.585		1.22	0.42	0.8	0.61		1.1	0.23	0.87	0.55		1.34	0.55	0.79	0.67		medium--1||high--1	g__JAAOZN01	g__JAAOZN01		1;2;79;549;550;5705;5706	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__JAAOZN01;g__JAAOZN01	2						
GB_GCA_002495315.1	1.0	1.0	1	0.74	0.74	0.74	0.74		0.22	0.22	0.22	0.22		0.86	0.86	0.86	0.86		0.46	0.46	0.46	0.46		0.07	0.07	0.07	0.07		medium--1	GB_GCA_002495315.1	GB_GCA_002495315.1		1;2;79;549;550;6254;6255;6256;6257	subspecies	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA141;g__UBA141;s__UBA141 sp002495315;GB_GCA_002495315.1	1						
RS_GCF_902812485.1	1.0	1.0	1	0.46	0.46	0.46	0.46		0.19	0.19	0.19	0.19		0.73	0.73	0.73	0.73		0.9	0.9	0.9	0.9		0.93	0.93	0.93	0.93		high--1	RS_GCF_902812485.1	RS_GCF_902812485.1		1;2;79;549;550;6417;6418;6419;6420	subspecies	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__CADDZS01;g__CADDZS01;s__CADDZS01 sp902812485;RS_GCF_902812485.1	1						
GB_GCA_013288145.1	1.0	1.0	1	0.79	0.79	0.79	0.79		0.2	0.2	0.2	0.2		0.66	0.66	0.66	0.66		0.76	0.76	0.76	0.76		0.75	0.75	0.75	0.75		medium--1	GB_GCA_013288145.1	GB_GCA_013288145.1		1;2;79;549;550;6417;6616;6617;6618	subspecies	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__CADDZS01;g__JABDCJ01;s__JABDCJ01 sp013288145;GB_GCA_013288145.1	1						
g__NZ13-MG1	1.0	1.0	7	3.76	0.17	0.82	0.5371428571428571		4.99	0.21	0.93	0.7128571428571429		1.6300000000000001	0.03	0.92	0.23285714285714287		2.09	0.07	0.54	0.29857142857142854		3.36	0.05	0.92	0.48		high--3||low--2||medium--2	g__NZ13-MG1	g__NZ13-MG1		1;2;79;549;1776;1777;1778	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Caldarchaeales;f__NZ13-MGT;g__NZ13-MG1	7						
g__JGI-0000106-J15	1.0	1.0	6	3.2100000000000004	0.02	0.89	0.535		2.3	0.07	0.73	0.3833333333333333		3.08	0.29	0.95	0.5133333333333333		3.08	0.06	0.92	0.5133333333333333		2.96	0.04	0.75	0.49333333333333335		low--3||high--2||medium--1	g__JGI-0000106-J15	g__JGI-0000106-J15		1;2;79;549;1776;1777;3772	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Caldarchaeales;f__NZ13-MGT;g__JGI-0000106-J15	6						
g__EX4484-121	1.0	1.0	2	1.43	0.69	0.74	0.715		1.05	0.08	0.97	0.525		1.06	0.15	0.91	0.53		0.82	0.35	0.47	0.41		1.29	0.6	0.69	0.645		medium--1||high--1	g__EX4484-121	g__EX4484-121		1;2;79;549;1776;1777;5562	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Caldarchaeales;f__NZ13-MGT;g__EX4484-121	2						
s__AWOC01 sp000494185	1.0	1.0	3	1.1	0.13	0.65	0.3666666666666667		2.1	0.58	0.88	0.7000000000000001		1.9	0.12	0.93	0.6333333333333333		1.3	0.17	0.93	0.43333333333333335		1.96	0.53	0.84	0.6533333333333333		medium--2||low--1	s__AWOC01 sp000494185	s__AWOC01 sp000494185		1;2;79;549;1776;2136;2137;2138	species	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Caldarchaeales;f__HR02;g__AWOC01;s__AWOC01 sp000494185	3						
g__JGI-OTU-1	1.0	1.0	4	2.98	0.38	0.92	0.745		2.84	0.32	0.99	0.71		2.52	0.35	0.87	0.63		2.21	0.15	0.86	0.5525		2.51	0.37	0.76	0.6275		low--3||medium--1	g__JGI-OTU-1	g__JGI-OTU-1		1;2;79;549;1776;2136;3115	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Caldarchaeales;f__HR02;g__JGI-OTU-1	4						
g__DTDI01	1.0	1.0	2	1.44	0.47	0.97	0.72		1.62	0.72	0.9	0.81		1.6	0.63	0.97	0.8		0.0	0.0	0.0	0.0		1.23	0.28	0.95	0.615		high--2	g__DTDI01	g__DTDI01		1;2;79;549;1776;2136;4387	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Caldarchaeales;f__HR02;g__DTDI01	2						
g__HRBIN02	1.0	1.0	4	0.96	0.02	0.58	0.24		1.89	0.12	0.9	0.4725		2.12	0.29	0.8	0.53		1.9900000000000002	0.25	0.79	0.49750000000000005		1.6099999999999999	0.22	0.58	0.40249999999999997		low--1||medium--3	g__HRBIN02	g__HRBIN02		1;2;79;549;1776;2136;4638	genus	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Caldarchaeales;f__HR02;g__HRBIN02	4						
