FeatureID	sample1	sample2	sample3	sample4	sample5	Taxon
GB_GCA_000565255.1	0.38	0.28	0.10	0.92	0.18	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Aramenus;s__Aramenus sulfurataquae
RS_GCF_013133895.1	0.94	0.56	0.90	0.09	0.00	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus copahuensis
RS_GCF_000632495.1	0.15	0.46	0.78	0.87	0.01	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus copahuensis
GB_GCA_003086435.1	0.88	0.69	0.68	0.33	0.78	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus hospitalis
RS_GCF_000213215.1	0.13	0.23	0.58	0.66	0.08	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus hospitalis
RS_GCF_009428885.1	0.27	0.02	0.33	0.13	0.20	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus ambivalens
RS_GCF_009729015.1	0.48	0.56	0.09	0.38	0.23	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus ambivalens
RS_GCF_003201765.2	0.93	0.97	0.76	0.58	0.32	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus sulfidivorans
RS_GCF_002116695.1	0.60	0.15	0.45	0.38	0.89	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus manzaensis
RS_GCF_009729545.1	0.11	0.30	0.28	0.17	0.48	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus infernus
GB_GCA_014648235.1	0.64	0.80	0.23	0.24	1.00	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Sulfodiicoccus;s__Sulfodiicoccus acidiphilus
RS_GCF_003967175.1	0.79	0.47	0.08	0.48	0.67	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Sulfodiicoccus;s__Sulfodiicoccus acidiphilus
RS_GCF_003201835.2	0.82	0.78	0.14	0.66	0.86	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus_B;s__Acidianus_B brierleyi
GB_GCA_003086555.1	0.81	0.58	0.31	0.44	0.83	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Stygiolobus;s__Stygiolobus sp003086555
RS_GCF_009729035.1	0.20	0.68	0.58	0.72	0.36	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Stygiolobus;s__Stygiolobus azoricus
GB_GCA_009903975.1	0.12	0.24	0.41	0.18	0.20	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Acidilobus;s__Acidilobus sp000495735
GB_GCA_000495735.1	0.82	0.43	0.99	0.37	0.65	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Acidilobus;s__Acidilobus sp000495735
GB_GCA_000495695.1	0.99	0.00	0.19	0.49	0.07	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Acidilobus;s__Acidilobus sp000495735
GB_GCA_000495715.1	0.94	0.18	0.18	0.49	0.85	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Acidilobus;s__Acidilobus sp000495735
GB_GCA_000495675.1	0.27	0.58	0.03	0.32	0.36	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Acidilobus;s__Acidilobus sp000495735
GB_GCA_002496425.1	0.53	0.81	0.70	0.45	0.15	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Acidilobus;s__Acidilobus sp002496425
RS_GCF_003431325.1	0.40	0.59	0.39	0.00	0.21	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Acidilobus;s__Acidilobus sp003431325
RS_GCF_000144915.1	0.90	0.75	0.71	0.33	0.52	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Acidilobus;s__Acidilobus saccharovorans
GB_GCA_011367065.1	0.02	0.80	0.41	0.28	0.69	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__DSZV01;s__DSZV01 sp011367065
GB_GCA_011366505.1	0.56	0.66	0.82	0.25	0.96	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__DSZV01;s__DSZV01 sp011367065
RS_GCF_004323575.1	0.49	0.86	0.12	0.62	0.57	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Aeropyrum;s__Aeropyrum pernix
RS_GCF_000011125.1	0.83	0.50	0.92	0.26	0.23	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Aeropyrum;s__Aeropyrum pernix
RS_GCF_000591035.1	0.47	0.67	0.06	0.91	0.06	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Aeropyrum;s__Aeropyrum camini
RS_GCF_001316065.1	0.91	0.19	0.82	0.88	0.25	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Aeropyrum;s__Aeropyrum camini
RS_GCF_000317795.1	0.93	0.76	0.26	0.77	0.98	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Caldisphaera;s__Caldisphaera lagunensis
GB_GCA_002877855.1	0.66	0.71	0.70	0.05	0.76	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Caldisphaera;s__Caldisphaera sp002877855
GB_GCA_002506595.1	0.04	0.45	0.69	0.96	0.17	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Caldisphaera;s__Caldisphaera sp002506595
GB_GCA_013152575.1	0.73	0.66	0.18	0.33	0.29	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__JAADGB01;s__JAADGB01 sp013152575
GB_GCA_011337845.1	0.76	0.63	0.88	0.43	0.42	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__DTCV01;s__DTCV01 sp011337845
GB_GCA_011056405.1	0.20	0.24	0.92	0.42	0.53	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__DTCV01;s__DTCV01 sp011337845
GB_GCA_011368075.1	0.21	0.12	0.64	0.90	0.07	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__DTCV01;s__DTCV01 sp011337845
GB_GCA_011380305.1	0.29	0.40	0.64	0.42	0.19	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__DTCV01;s__DTCV01 sp011337845
GB_GCA_011366425.1	0.73	0.85	0.12	0.85	0.80	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__DTCV01;s__DTCV01 sp011366425
GB_GCA_011369745.1	0.60	0.22	0.14	0.85	0.68	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__DTCV01;s__DTCV01 sp011366425
GB_GCA_011364565.1	0.89	0.96	0.57	0.98	0.20	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__Zestosphaera;s__Zestosphaera sp011364565
GB_GCA_011388775.1	0.31	0.74	0.42	0.20	0.02	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__Zestosphaera;s__Zestosphaera sp011364565
GB_GCA_011368415.1	0.71	0.02	0.40	0.56	0.53	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__Zestosphaera;s__Zestosphaera sp011375725
GB_GCA_011375725.1	0.13	0.31	0.28	0.31	0.09	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__Zestosphaera;s__Zestosphaera sp011375725
GB_GCA_011361945.1	0.38	0.93	0.25	0.20	0.56	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__Zestosphaera;s__Zestosphaera sp011361945
GB_GCA_003056265.1	0.60	0.01	0.75	0.77	0.96	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__Zestosphaera;s__Zestosphaera tikiterensis
GB_GCA_002255065.1	0.71	0.59	0.65	0.71	0.44	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__EX4484-204;s__EX4484-204 sp002255065
GB_GCA_003661745.1	0.44	0.97	0.50	0.41	0.85	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__EX4484-204;s__EX4484-204 sp003661745
GB_GCA_011373125.1	0.09	0.54	0.63	0.35	0.38	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__DRZP01;s__DRZP01 sp011373125
GB_GCA_011375535.1	0.30	0.75	0.28	0.16	0.06	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__DRZP01;s__DRZP01 sp011375535
GB_GCA_011057105.1	0.94	0.88	0.27	0.69	0.03	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Fervidicoccaceae;g__Fervidicoccus;s__Fervidicoccus fontis
GB_GCA_002871295.1	0.02	0.26	0.59	0.69	0.43	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Fervidicoccaceae;g__Fervidicoccus;s__Fervidicoccus fontis
RS_GCF_000258425.1	0.30	0.98	0.97	0.53	1.00	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Fervidicoccaceae;g__Fervidicoccus;s__Fervidicoccus fontis
GB_GCA_009904015.1	0.65	0.22	0.93	0.22	0.97	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Fervidicoccaceae;g__WYEQ01;s__WYEQ01 sp009904015
GB_GCA_011048525.1	0.83	0.24	0.84	0.08	0.54	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Fervidicoccaceae;g__WYEQ01;s__WYEQ01 sp009904015
GB_GCA_011057145.1	0.78	0.98	0.51	0.87	0.78	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Fervidicoccaceae;g__ARK-14;s__ARK-14 sp002899805
GB_GCA_002899805.1	0.75	0.59	0.84	0.56	0.45	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Fervidicoccaceae;g__ARK-14;s__ARK-14 sp002899805
GB_GCA_011333245.1	0.66	0.49	0.89	0.98	0.21	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Fervidicoccaceae;g__ARK-14;s__ARK-14 fontis_A
GB_GCA_009904115.1	0.92	0.06	0.64	0.53	0.46	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Fervidicoccaceae;g__ARK-14;s__ARK-14 fontis_A
GB_GCA_011380215.1	0.09	0.49	0.50	0.41	0.56	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Fervidicoccaceae;g__DRZC01;s__DRZC01 fontis_A
GB_GCA_003177295.1	0.78	0.69	0.77	0.66	0.58	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__AG1;g__AG1;s__AG1 sp003116855
RS_GCF_003116855.1	0.75	0.98	0.93	0.97	0.11	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__AG1;g__AG1;s__AG1 sp003116855
GB_GCA_009889545.1	0.50	0.14	0.50	0.21	0.52	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__AG1;g__AG1;s__AG1 sp003116855
GB_GCA_011056395.1	0.43	0.27	0.18	0.59	0.39	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__AG1;g__AG1;s__AG1 sp011056395
GB_GCA_011380155.1	0.43	0.01	0.57	0.48	0.87	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__AG1;g__WYEN01;s__WYEN01 sp009903825
GB_GCA_009903825.1	0.48	0.19	0.78	0.43	0.91	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__AG1;g__WYEN01;s__WYEN01 sp009903825
RS_GCF_000231015.2	0.89	0.73	0.29	0.50	0.19	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__Desulfurococcus;s__Desulfurococcus amylolyticus
RS_GCF_000020905.1	0.85	0.66	0.07	0.24	0.19	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__Desulfurococcus;s__Desulfurococcus amylolyticus
RS_GCF_000513855.1	0.70	0.12	1.00	0.34	0.84	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__Desulfurococcus;s__Desulfurococcus amylolyticus
RS_GCF_001006085.1	0.50	0.48	0.51	0.21	0.58	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__Desulfurococcus;s__Desulfurococcus mucosus
RS_GCF_000186365.1	0.86	0.64	0.08	0.65	0.32	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__Desulfurococcus;s__Desulfurococcus mucosus
GB_GCA_011366445.1	0.20	0.95	0.09	0.77	0.11	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__UBA285 sp011364525
GB_GCA_011364525.1	0.69	0.79	0.96	0.92	0.92	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__UBA285 sp011364525
GB_GCA_002496045.1	0.39	0.91	0.16	0.25	0.65	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__UBA285 sp002495025
GB_GCA_002495025.1	0.30	0.57	0.25	0.34	0.50	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__UBA285 sp002495025
GB_GCA_011380145.1	0.27	0.41	0.84	0.09	0.40	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__UBA285 sp011380145
GB_GCA_011056815.1	0.26	0.69	0.82	0.61	0.90	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__UBA285 sp011056815
GB_GCA_011375785.1	0.32	0.78	0.01	0.72	0.43	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__UBA285 sp011375785
GB_GCA_011380285.1	0.18	0.66	0.14	0.38	0.66	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__UBA285 sp011380285
GB_GCA_011375875.1	0.96	0.82	0.81	0.05	0.56	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__Thermogladius;s__Thermogladius calderae_A
GB_GCA_009904025.1	0.20	0.97	0.45	0.80	0.13	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__Thermogladius;s__Thermogladius calderae_A
RS_GCF_000264495.1	0.70	0.91	0.47	0.88	0.86	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__Thermogladius;s__Thermogladius calderae
GB_GCA_011366735.1	0.78	0.42	0.97	0.66	1.00	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__DTBP01;s__DTBP01 marinus_A
GB_GCA_011366845.1	0.75	0.92	0.58	0.33	0.33	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__DTBP01;s__DTBP01 marinus_A
GB_GCA_011364225.1	0.03	0.15	0.67	0.61	0.35	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__DTBJ01;s__DTBJ01 marinus_A
GB_GCA_011369685.1	0.33	0.79	0.55	0.95	0.74	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__DTBJ01;s__DTBJ01 marinus_A
GB_GCA_002254665.1	0.25	0.82	0.66	0.79	0.64	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__EX4484-58;s__EX4484-58 sp002254665
RS_GCF_000092185.1	0.53	0.11	0.33	0.92	0.75	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__Thermosphaera;s__Thermosphaera aggregans
GB_GCA_011053855.1	0.92	0.93	0.24	1.00	0.12	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__Thermosphaera;s__Thermosphaera aggregans_A
GB_GCA_003661825.1	0.68	0.23	0.13	0.67	0.17	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__QMWW01;s__QMWW01 sp003661825
RS_GCF_000015945.1	0.38	0.69	0.17	0.87	0.99	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__Staphylothermus;s__Staphylothermus marinus
RS_GCF_000092465.1	0.40	0.98	0.92	0.69	0.28	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__Staphylothermus;s__Staphylothermus hellenicus
GB_GCA_013154205.1	0.83	0.03	0.75	0.91	0.24	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__JAADCY01;s__JAADCY01 sp013154205
GB_GCA_011388575.1	0.88	0.82	0.80	0.56	0.73	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera aggregans_A
GB_GCA_011375585.1	0.14	0.77	0.54	0.78	0.26	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera aggregans_A
GB_GCA_011366815.1	0.72	0.99	0.29	0.39	0.38	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera aggregans_B
GB_GCA_011366545.1	0.95	0.14	1.00	0.48	0.06	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera aggregans_B
GB_GCA_011330825.1	0.75	0.58	0.28	0.20	0.38	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera aggregans_C
GB_GCA_011362275.1	0.13	0.34	0.77	0.28	0.29	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera aggregans_C
GB_GCA_011364515.1	0.14	0.16	0.84	0.61	0.81	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera aggregans_D
GB_GCA_011366635.1	0.60	0.29	0.34	0.73	0.47	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera aggregans_D
GB_GCA_011051125.1	0.01	0.08	0.20	0.72	0.02	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera aggregans_E
GB_GCA_011361755.1	0.38	0.89	0.11	0.36	0.17	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera aggregans_E
GB_GCA_011380255.1	0.89	0.63	0.23	0.99	0.16	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera aggregans_F
GB_GCA_011364155.1	0.83	0.36	0.39	0.78	0.36	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera aggregans_G
GB_GCA_011055355.1	0.90	0.24	0.55	0.52	0.76	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera aggregans_H
GB_GCA_011057405.1	0.03	0.86	0.33	0.65	0.54	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera aggregans_I
GB_GCA_000145985.1	0.03	0.12	0.69	0.56	0.18	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera aggregans
GB_GCA_003661865.1	0.74	0.22	0.86	0.25	0.08	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignisphaeraceae;g__QMWT01;s__QMWT01 sp003661865
GB_GCA_003661775.1	0.46	0.86	0.34	0.59	0.79	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignisphaeraceae;g__QMWT01;s__QMWT01 sp003661775
GB_GCA_003661905.1	0.46	0.73	0.79	0.63	0.58	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignisphaeraceae;g__B12-G17;s__B12-G17 sp003661905
GB_GCA_013154235.1	0.57	0.20	0.91	0.45	0.86	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignisphaeraceae;g__JAADCV01;s__JAADCV01 sp013154235
RS_GCF_002194565.1	0.24	0.49	0.22	0.97	0.67	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Pyrodictiaceae;g__Pyrodictium;s__Pyrodictium delaneyi
RS_GCF_001412615.1	0.05	0.41	0.23	0.88	0.27	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Pyrodictiaceae;g__Pyrodictium;s__Pyrodictium delaneyi
RS_GCF_001462395.1	0.20	0.82	0.06	0.43	0.34	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Pyrodictiaceae;g__Pyrodictium;s__Pyrodictium occultum
GB_GCA_013153145.1	0.22	0.51	0.92	0.55	0.72	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Pyrodictiaceae;g__JAADEY01;s__JAADEY01 sp013153145
GB_GCA_013153105.1	0.52	0.92	0.03	0.35	0.75	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Pyrodictiaceae;g__QNYQ01;s__QNYQ01 sp013153105
GB_GCA_013540595.1	0.94	0.96	0.27	0.19	0.75	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Pyrodictiaceae;g__QNYQ01;s__QNYQ01 sp013540595
GB_GCA_003978665.1	0.92	0.42	0.82	0.41	0.67	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Pyrodictiaceae;g__QNYQ01;s__QNYQ01 sp003978665
RS_GCF_000223395.1	0.08	0.87	0.96	0.14	0.90	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Pyrodictiaceae;g__Pyrolobus;s__Pyrolobus fumarii
RS_GCF_000015145.1	0.26	0.48	0.13	0.48	0.41	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Pyrodictiaceae;g__Hyperthermus;s__Hyperthermus butylicus
RS_GCF_000017945.1	0.73	0.86	0.81	0.14	0.11	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignicoccaceae;g__Ignicoccus_A;s__Ignicoccus_A hospitalis
GB_GCA_013329705.1	0.92	0.93	0.20	0.02	0.08	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignicoccaceae;g__Ignicoccus_A;s__Ignicoccus_A hospitalis
GB_GCA_013154085.1	0.62	0.19	0.97	0.08	0.90	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignicoccaceae;g__Ignicoccus_A;s__Ignicoccus_A sp013154085
RS_GCF_001481685.1	0.88	0.15	0.65	0.05	0.09	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignicoccaceae;g__Ignicoccus;s__Ignicoccus islandicus
GB_GCA_011380355.1	0.37	0.25	0.52	0.62	0.59	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Gearchaeales;f__Gearchaeaceae;g__SCGC-AAA471-B05;s__SCGC-AAA471-B05 sp000380705
GB_GCA_000398765.1	0.37	0.05	0.26	0.80	0.72	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Gearchaeales;f__Gearchaeaceae;g__SCGC-AAA471-B05;s__SCGC-AAA471-B05 sp000380705
GB_GCA_000405885.1	0.98	0.86	0.49	0.03	0.85	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Gearchaeales;f__Gearchaeaceae;g__SCGC-AAA471-B05;s__SCGC-AAA471-B05 sp000380705
GB_GCA_000380705.1	0.43	0.47	0.24	0.12	0.84	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Gearchaeales;f__Gearchaeaceae;g__SCGC-AAA471-B05;s__SCGC-AAA471-B05 sp000380705
GB_GCA_000494205.1	0.33	0.10	0.36	0.18	0.13	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Gearchaeales;f__Gearchaeaceae;g__SCGC-AAA471-B05;s__SCGC-AAA471-B05 sp000380705
GB_GCA_000399825.1	0.08	0.72	0.63	0.10	0.04	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Gearchaeales;f__Gearchaeaceae;g__SCGC-AAA471-B05;s__SCGC-AAA471-B05 sp000380705
GB_GCA_000402095.1	0.59	0.28	0.88	0.48	0.18	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Gearchaeales;f__Gearchaeaceae;g__SCGC-AAA471-B05;s__SCGC-AAA471-B05 sp000380705
GB_GCA_011056475.1	0.34	0.58	0.66	0.78	0.80	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Gearchaeales;f__Gearchaeaceae;g__DSFO01;s__DSFO01 sp011056475
