name	GC	GCA	aquatic_habitat	host_associated	size	soil_habitat	GCF
187981.SAMN17057245.GCA_016427555.1	54.8	GCA_016427555.1			3556355		RS_GCF_016427555.1
1306954.SAMN04297455.GCA_001574445.1	57.4	GCA_001574445.1	1	1	4377629	1	RS_GCF_001574445.1
50741.SAMN07619426.GCA_002693645.1	57.5	GCA_002693645.1	1	0	4027594	0	GB_GCA_002693645.1
643747.SAMN14908463.GCA_014201735.1	59.4	GCA_014201735.1			3714611		RS_GCF_014201735.1
930118.SAMN06266768.GCA_002934325.1	57.7	GCA_002934325.1			3577165		RS_GCF_002934325.1
930118.SAMD00245611.GCA_014652295.1	58.4	GCA_014652295.1			3158589		RS_GCF_014652295.1
1916082.SAMN14491232.GCA_013393545.1	54.5	GCA_013393545.1			4904117		GB_GCA_013393545.1
1137280.SAMN02854799.GCA_000708045.1	56.7	GCA_000708045.1	1	0	3890033	0	RS_GCF_000708045.1
2604327.SAMN12587485.GCA_008370345.1	55.6	GCA_008370345.1			4240922		RS_GCF_008370345.1
2304594.SAMN09874278.GCA_003441595.1	57.6	GCA_003441595.1	1	0	4300456	1	RS_GCF_003441595.1
1658765.SAMN03731189.GCA_001045555.1	58.9	GCA_001045555.1			4453613		RS_GCF_001045555.1
432303.SAMN07602866.GCA_002744735.1	57.0	GCA_002744735.1	1	0	4458884	1	RS_GCF_002744735.1
375760.SAMN04488073.GCA_900115175.1	59.9	GCA_900115175.1			3839018		RS_GCF_900115175.1
2841559.SAMN19350954.GCA_018860425.1	55.4	GCA_018860425.1			4232378		RS_GCF_018860425.1
1033846.SAMN04917425.GCA_001717765.1	57.2	GCA_001717765.1	1	1	4246508	1	RS_GCF_001717765.1
187379.SAMEA9694489.GCA_913055835.1	57.7	GCA_913055835.1			4094174		None
2592624.SAMN12161918.GCA_008107725.1	56.9	GCA_008107725.1	0	0	4214515	1	RS_GCF_008107725.1
1761795.SAMN04487881.GCA_900188435.1	56.9	GCA_900188435.1			4063301		RS_GCF_900188435.1
2799283.SAMN17124544.GCA_016758285.1	57.0	GCA_016758285.1	0	1	4732670	1	RS_GCF_016758285.1
1094979.SAMN02471017.GCA_000235625.1	57.3	GCA_000235625.1	1	0	4549590	0	None
1874317.SAMN05920294.GCA_001854125.1	55.9	GCA_001854125.1			4121005		RS_GCF_001854125.1
2570351.SAMN11445131.GCA_005871205.1	57.4	GCA_005871205.1	1	1	4337754	0	RS_GCF_005871205.1
2861777.SAMN20348488.GCA_019392195.1	58.5	GCA_019392195.1			4025706		None
2862868.SAMN20422936.GCA_019443085.1	58.4	GCA_019443085.1			4151724		None
2856822.SAMN20066151.GCA_019264345.1	59.2	GCA_019264345.1			4112988		None
1415567.SAMN04488489.GCA_002563885.1	54.6	GCA_002563885.1			4447234		RS_GCF_002563885.1
2739064.SAMN02256466.GCA_000372805.1	54.7	GCA_000372805.1			3633797		RS_GCF_000372805.1
270374.SAMN02436124.GCA_000169375.1	54.3	GCA_000169375.1	1	0	4894744	0	RS_GCF_000169375.1
490759.SAMN02603049.GCA_000283275.1	54.1	GCA_000283275.1	0	0	4063864	1	RS_GCF_000283275.1
1033846.SAMN14491393.GCA_013393465.1	55.0	GCA_013393465.1	0	0	3445213	0	RS_GCF_013393465.1
1494078.SAMN07193047.GCA_002806975.1	55.9	GCA_002806975.1	0	0	4110204	1	RS_GCF_002806975.1
564117.SAMN09638547.GCA_011049865.1	54.8	GCA_011049865.1	0	0	3929789	1	GB_GCA_011049865.1
564117.SAMN05216369.GCA_900142385.1	54.9	GCA_900142385.1			3740786		RS_GCF_900142385.1
2039467.SAMN07682857.GCA_002407605.1	53.7	GCA_002407605.1	0	1	4173840	0	RS_GCF_002407605.1
277961.SAMN11791491.GCA_007671675.1	54.5	GCA_007671675.1	1	0	4357025	0	RS_GCF_007671675.1
1415568.SAMN04488490.GCA_900215155.1	53.7	GCA_900215155.1			4436589		RS_GCF_900215155.1
1879031.SAMN05415084.GCA_001858325.1	53.9	GCA_001858325.1	0	0	4149715	1	RS_GCF_001858325.1
1925763.SAMN19350941.GCA_018860765.1	52.5	GCA_018860765.1			4133335		RS_GCF_018860765.1
2582919.SAMN11783921.GCA_016597725.1	52.8	GCA_016597725.1			4037891		RS_GCF_016597725.1
1925763.SAMN07192991.GCA_002806945.1	53.7	GCA_002806945.1	0	0	3820421	1	RS_GCF_002806945.1
2582920.SAMN11783932.GCA_016597775.1	53.7	GCA_016597775.1			4058513		RS_GCF_016597775.1
2488665.SAMN10417204.GCA_003994855.1	57.1	GCA_003994855.1			4625865		RS_GCF_003994855.1
1318628.SAMN02471937.GCA_000397065.1	56.8	GCA_000397065.1			4020008		None
209639.SAMN09767130.GCA_018424605.1	59.7	GCA_018424605.1			3757339		RS_GCF_018424605.1
50741.SAMN16237229.GCA_017643965.1	59.7	GCA_017643965.1	1	0	3339078	0	GB_GCA_017643965.1
2666256.SAMN07602843.GCA_002744715.1	60.3	GCA_002744715.1	1	0	4034607	1	RS_GCF_002744715.1
1916082.SAMN07618326.GCA_002683455.1	55.4	GCA_002683455.1	1	0	4462782	0	GB_GCA_002683455.1
2603215.SAMN12612374.GCA_008122265.1	58.0	GCA_008122265.1	1	0	4543926	1	RS_GCF_008122265.1
626887.SAMN02469788.GCA_000364845.1	58.5	GCA_000364845.1	0	0	5358909	1	RS_GCF_000364845.1
2201898.SAMN09218204.GCA_003258515.1	63.1	GCA_003258515.1	0	0	4755891	1	RS_GCF_003258515.1
2528979.SAMN10995300.GCA_004327985.1	60.9	GCA_004327985.1	1	0	5266295	1	RS_GCF_004327985.1
2803918.SAMN17378692.GCA_016798325.1	61.1	GCA_016798325.1	1	0	4649115	0	RS_GCF_016798325.1
1484056.SAMN08775545.GCA_003096655.1	61.1	GCA_003096655.1	0	0	3400134	1	RS_GCF_003096655.1
2026746.SAMN10237352.GCA_007692645.1	58.2	GCA_007692645.1	1	0	3572149	0	GB_GCA_007692645.1
332522.SAMN09064161.GCA_004364635.1	60.1	GCA_004364635.1			3318232		RS_GCF_004364635.1
86177.SAMN15676581.GCA_019903425.1	61.8	GCA_019903425.1			3525189		None
86177.SAMN13191870.GCA_009856365.1	62.1	GCA_009856365.1			3343042		RS_GCF_009856365.1
2032626.SAMN07573030.GCA_002286965.1	62.1	GCA_002286965.1	0	0	3495096	1	RS_GCF_002286965.1
2259620.SAMN09602974.GCA_004851605.1	57.9	GCA_004851605.1	1	0	4258501	1	RS_GCF_004851605.1
1977087.SAMN07757603.GCA_002747395.1	49.7	GCA_002747395.1	1	1	3356470	0	GB_GCA_002747395.1
141451.SAMN06234459.GCA_002162375.1	47.8	GCA_002162375.1			6379281		RS_GCF_002162375.1
2048971.SAMN16086345.GCA_016744695.1	41.3	GCA_016744695.1	1	0	4067888	0	GB_GCA_016744695.1
1667049.SAMEA9694074.GCA_913060665.1	43.5	GCA_913060665.1			4393646		None
427759.SAMEA9694661.GCA_913020245.1	45.9	GCA_913020245.1			2780168		None
2025907.SAMN08795403.GCA_006212045.1	50.4	GCA_006212045.1	1	0	4429143	0	GB_GCA_006212045.1
427759.SAMEA9695062.GCA_913020045.1	47.0	GCA_913020045.1			3702067		None
418701.SAMN13193731.GCA_009650135.1	58.8	GCA_009650135.1	0	0	2346037	1	RS_GCF_009650135.1
2077313.SAMN19005951.GCA_018401755.1	53.6	GCA_018401755.1			2194005		GB_GCA_018401755.1
86473.SAMEA9694759.GCA_913057215.1	53.4	GCA_913057215.1			1576428		None
2077313.SAMN09786023.GCA_009886945.1	51.0	GCA_009886945.1	1	0	1707549	0	GB_GCA_009886945.1
751994.SAMN00011218.GCA_000227525.1	49.9	GCA_000227525.1	1	1	2168870	0	None
1913989.SAMN10223278.GCA_010024125.1	49.8	GCA_010024125.1	1	0	1966244	0	GB_GCA_010024125.1
1778464.SAMN12144333.GCA_008087055.1	48.6	GCA_008087055.1	1	0	1935310	0	GB_GCA_008087055.1
293335.SAMEA9695358.GCA_913061245.1	49.2	GCA_913061245.1			1576676		None
64969.SAMN02745127.GCA_900167095.1	45.4	GCA_900167095.1			3512709		RS_GCF_900167095.1
1122616.SAMN02441143.GCA_000422425.1	47.9	GCA_000422425.1	1	0	5325321	0	RS_GCF_000422425.1
2760088.SAMN15699849.GCA_014164585.1	47.2	GCA_014164585.1			5624038		RS_GCF_014164585.1
1122617.SAMN02440652.GCA_000422865.1	45.9	GCA_000422865.1	1	0	3709807	0	RS_GCF_000422865.1
141451.SAMN04489856.GCA_900108075.1	49.2	GCA_900108075.1			3646497		GB_GCA_900108075.1
1434821.SAMN06209377.GCA_002150805.1	50.3	GCA_002150805.1			4051288		RS_GCF_002150805.1
64971.SAMN05421831.GCA_900108915.1	45.4	GCA_900108915.1			2744234		RS_GCF_900108915.1
2081032.SAMN08450111.GCA_003012345.1	55.1	GCA_003012345.1	0	1	3623746	0	GB_GCA_003012345.1
1123510.SAMN02952986.GCA_000620025.1	56.1	GCA_000620025.1	0	0	2972948	1	RS_GCF_000620025.1
1403347.SAMN02743977.GCA_000621205.1	64.8	GCA_000621205.1			4465828		RS_GCF_000621205.1
1336245.SAMN02584972.GCA_000526695.1	56.2	GCA_000526695.1			2726123		RS_GCF_000526695.1
657387.SAMN12640605.GCA_008247605.1	59.1	GCA_008247605.1	0	0	3624619	1	RS_GCF_008247605.1
595502.SAMN08769587.GCA_003633775.1	64.1	GCA_003633775.1			3510707		RS_GCF_003633775.1
1122139.SAMN02440978.GCA_000382245.1	62.8	GCA_000382245.1			3750691		RS_GCF_000382245.1
402385.SAMN05421848.GCA_900112585.1	60.3	GCA_900112585.1			3605329		RS_GCF_900112585.1
1508770.SAMD00245640.GCA_014652795.1	59.7	GCA_014652795.1			3519858		RS_GCF_014652795.1
1122140.SAMN08776247.GCA_003385845.1	60.6	GCA_003385845.1			3752699		RS_GCF_003385845.1
2100822.SAMEA104667428.GCA_900312995.1	59.3	GCA_900312995.1			3764595		RS_GCF_900312995.1
157779.SAMN06765534.GCA_002157205.1	59.0	GCA_002157205.1			3667185		RS_GCF_002157205.1
698828.SAMN06765533.GCA_002155145.1	59.1	GCA_002155145.1			3584631		RS_GCF_002155145.1
1443141.SAMD00245635.GCA_014652715.1	62.7	GCA_014652715.1			4215262		RS_GCF_014652715.1
1949082.SAMN06299277.GCA_003206645.1	63.6	GCA_003206645.1	0	1	3869882	0	RS_GCF_003206645.1
184065.SAMN06299115.GCA_003206155.1	64.9	GCA_003206155.1			3615108		RS_GCF_003206155.1
1267424.SAMN06299117.GCA_003206715.1	62.5	GCA_003206715.1	1	0	4623416	1	RS_GCF_003206715.1
2606937.SAMN12651338.GCA_008298015.1	62.6	GCA_008298015.1	1	0	4655154	0	RS_GCF_008298015.1
1949085.SAMN06299281.GCA_003206045.1	64.3	GCA_003206045.1	0	1	4415417	0	RS_GCF_003206045.1
430457.SAMN06299118.GCA_003206135.1	62.5	GCA_003206135.1	1	0	3883667	0	RS_GCF_003206135.1
1949081.SAMN06299212.GCA_003206065.1	60.6	GCA_003206065.1	0	1	3991304	0	RS_GCF_003206065.1
1808881.SAMN06299280.GCA_003206695.1	62.2	GCA_003206695.1	0	1	3899358	0	RS_GCF_003206695.1
404433.SAMN06145960.GCA_001937195.1	62.2	GCA_001937195.1	0	1	4174124	0	RS_GCF_001937195.1
1949083.SAMN06299279.GCA_003206575.1	65.8	GCA_003206575.1	0	1	4355764	0	RS_GCF_003206575.1
1771309.SAMN07653055.GCA_003006155.1	65.7	GCA_003006155.1	0	1	4276240	0	RS_GCF_003006155.1
290398.SAMN02598275.GCA_000055785.1	63.9	GCA_000055785.1	1	0	3696649	0	RS_GCF_000055785.1
42055.SAMN08776302.GCA_004364315.1	61.7	GCA_004364315.1			3553220		RS_GCF_004364315.1
141389.SAMN05421509.GCA_900221025.1	61.0	GCA_900221025.1			3556478		RS_GCF_900221025.1
158080.SAMN14491392.GCA_013393405.1	61.0	GCA_013393405.1			3532267		RS_GCF_013393405.1
2518972.SAMEA5358876.GCA_900961225.1	64.9	GCA_900961225.1			4648490		RS_GCF_900961225.1
1446475.SAMN02741068.GCA_000731955.1	64.4	GCA_000731955.1	1	0	3554760	1	RS_GCF_000731955.1
2304602.SAMN18912868.GCA_020147935.1	66.1	GCA_020147935.1	0	1	4612611	0	None
1783518.SAMN04432558.GCA_001577635.1	67.1	GCA_001577635.1	1	0	3421069	0	GB_GCA_001577635.1
1121943.SAMN02440470.GCA_000378505.1	59.1	GCA_000378505.1	1	0	4533090	0	RS_GCF_000378505.1
442341.SAMN09074948.GCA_004366455.1	61.0	GCA_004366455.1			4616794		RS_GCF_004366455.1
119000.SAMN05661010.GCA_900102945.1	61.9	GCA_900102945.1			4138450		RS_GCF_900102945.1
1121942.SAMN02745148.GCA_900128925.1	63.2	GCA_900128925.1			3960292		RS_GCF_900128925.1
1471202.SAMN02716187.GCA_001039575.1	57.5	GCA_001039575.1			3804553		RS_GCF_001039575.1
574349.SAMN05443545.GCA_900106955.1	58.2	GCA_900106955.1			3886483		RS_GCF_900106955.1
2604086.SAMN12575706.GCA_008079445.1	58.1	GCA_008079445.1	0	0	3953408	1	RS_GCF_008079445.1
2773308.SAMN16205224.GCA_014840935.1	65.1	GCA_014840935.1	1	0	3453067	1	RS_GCF_014840935.1
2508711.SAMN10791423.GCA_004798965.1	60.8	GCA_004798965.1	1	0	3681432	0	RS_GCF_004798965.1
284577.SAMN05421792.GCA_003268885.1	62.5	GCA_003268885.1			3736068		RS_GCF_003268885.1
284577.SAMN05216571.GCA_900100755.1	62.3	GCA_900100755.1			3756722		RS_GCF_900100755.1
1166948.SAMN02949639.GCA_000759345.1	60.7	GCA_000759345.1	1	0	3786651	0	RS_GCF_000759345.1
1121939.SAMN02471787.GCA_000409775.1	58.5	GCA_000409775.1			5070590		RS_GCF_000409775.1
980347.SAMD00245587.GCA_014651875.1	60.8	GCA_014651875.1			4768215		RS_GCF_014651875.1
1883414.SAMN11843676.GCA_007954585.1	60.1	GCA_007954585.1			3781193		RS_GCF_007954585.1
1121940.SAMN02440634.GCA_000425725.1	53.8	GCA_000425725.1	0	1	2876467	0	RS_GCF_000425725.1
2810616.SAMN19079086.GCA_018448785.1	61.6	GCA_018448785.1			4126476		RS_GCF_018448785.1
463301.SAMN04487955.GCA_900116705.1	62.5	GCA_900116705.1			4038005		RS_GCF_900116705.1
1897729.SAMN06019500.GCA_001886615.1	67.9	GCA_001886615.1			3543891		RS_GCF_001886615.1
370769.SAMN08781011.GCA_003056305.1	68.7	GCA_003056305.1	1	0	3758327	0	RS_GCF_003056305.1
416872.SAMN04487956.GCA_900116405.1	67.1	GCA_900116405.1			3681289		RS_GCF_900116405.1
490901.SAMN11638126.GCA_005780185.1	66.9	GCA_005780185.1	1	0	4028094	0	RS_GCF_005780185.1
616675.SAMN12025132.GCA_014192285.1	65.4	GCA_014192285.1			3598958		RS_GCF_014192285.1
2607506.SAMEA5972740.GCA_902500215.1	64.8	GCA_902500215.1	0	0	3830613	1	RS_GCF_902500215.1
650850.SAMN04488129.GCA_900109725.1	64.0	GCA_900109725.1			3716433		RS_GCF_900109725.1
229007.SAMN09074690.GCA_004361885.1	64.2	GCA_004361885.1			3238660		RS_GCF_004361885.1
229007.SAMN05421865.GCA_003002995.1	68.1	GCA_003002995.1			3651419		RS_GCF_003002995.1
2811227.SAMN17321109.GCA_017584085.1	66.9	GCA_017584085.1	1	0	4140579	0	GB_GCA_017584085.1
1486246.SAMN08575138.GCA_003553625.1	65.8	GCA_003553625.1	1	0	3109222	1	GB_GCA_003553625.1
1486246.SAMN15871833.GCA_014859505.1	67.4	GCA_014859505.1	0	0	3359532	1	GB_GCA_014859505.1
2183985.SAMN09081309.GCA_003182195.1	67.6	GCA_003182195.1	1	0	3328146	0	RS_GCF_003182195.1
1397528.SAMN02345636.GCA_000475415.1	67.7	GCA_000475415.1			3668536		RS_GCF_000475415.1
147248.SAMN13634714.GCA_009902005.1	66.3	GCA_009902005.1			3285121		RS_GCF_009902005.1
2691040.SAMN13634739.GCA_009901955.1	64.0	GCA_009901955.1	1	0	3497386	1	RS_GCF_009901955.1
1121941.SAMN02952987.GCA_000620045.1	64.0	GCA_000620045.1			3464094		RS_GCF_000620045.1
213554.SAMN05445702.GCA_014193375.1	68.7	GCA_014193375.1			3933286		RS_GCF_014193375.1
1684789.SAMN08324466.GCA_002879635.1	62.6	GCA_002879635.1	1	0	3985154	1	RS_GCF_002879635.1
2044917.SAMN07776864.GCA_003202205.1	66.4	GCA_003202205.1	1	0	4755096	0	RS_GCF_003202205.1
1387883.SAMN08324229.GCA_002879645.1	66.7	GCA_002879645.1	0	0	4816801	1	RS_GCF_002879645.1
2599398.SAMN10736064.GCA_004551485.1	67.3	GCA_004551485.1	1	0	4576545	0	GB_GCA_004551485.1
2484813.SAMN13046066.GCA_010994375.1	66.6	GCA_010994375.1	0	0	4023109	1	RS_GCF_010994375.1
376427.SAMN04487954.GCA_900100195.1	64.9	GCA_900100195.1			4166643		RS_GCF_900100195.1
1562110.SAMN13118311.GCA_010993975.1	64.5	GCA_010993975.1	0	1	4199812	0	RS_GCF_010993975.1
2033802.SAMN08324437.GCA_002879615.1	62.1	GCA_002879615.1	0	1	4980457	0	RS_GCF_002879615.1
2861360.SAMN20335857.GCA_019915905.1	62.6	GCA_019915905.1	0	0	4309348	1	None
2282311.SAMN09684756.GCA_003339685.1	62.2	GCA_003339685.1			3606669		RS_GCF_003339685.1
2282305.SAMN09685114.GCA_003336675.1	62.9	GCA_003336675.1			4785753		RS_GCF_003336675.1
1848458.SAMN08180812.GCA_002930105.1	64.1	GCA_002930105.1	0	0	4344030	1	RS_GCF_002930105.1
2606936.SAMN12651339.GCA_008297955.1	63.5	GCA_008297955.1			4346535		RS_GCF_008297955.1
321266.SAMN15567435.GCA_013697085.1	63.8	GCA_013697085.1			4420996		RS_GCF_013697085.1
590061.SAMD00036607.GCA_000246875.1	64.1	GCA_000246875.1			4992811		None
1191209.SAMN06282657.GCA_002151265.1	64.7	GCA_002151265.1	1	0	4722642	0	RS_GCF_002151265.1
2846777.SAMN19612784.GCA_019430905.1	64.2	GCA_019430905.1	0	0	4389574	1	None
2854257.SAMN16939970.GCA_015992245.1	66.1	GCA_015992245.1	0	0	4441120	1	RS_GCF_015992245.1
2185141.SAMN09111885.GCA_003254665.1	66.7	GCA_003254665.1	1	0	4360527	1	RS_GCF_003254665.1
2497861.SAMN10605342.GCA_009834345.1	63.9	GCA_009834345.1	1	0	5015118	0	RS_GCF_009834345.1
2717286.SAMN14371620.GCA_011742165.1	63.6	GCA_011742165.1			4701666		RS_GCF_011742165.1
2733487.SAMN14838974.GCA_014931605.1	62.9	GCA_014931605.1	0	0	4490931	1	RS_GCF_014931605.1
447424.SAMN12025078.GCA_014192215.1	65.7	GCA_014192215.1			4168933		RS_GCF_014192215.1
252.SAMD00097584.GCA_006540005.1	63.7	GCA_006540005.1			3253825		RS_GCF_006540005.1
438744.SAMD00052838.GCA_001662285.1	63.6	GCA_001662285.1			3477089		RS_GCF_001662285.1
768066.SAMEA2272784.GCA_000196875.1	63.6	GCA_000196875.1	1	0	4061825	0	None
42566.SAMN12658491.GCA_008274785.1	63.0	GCA_008274785.1	0	0	3843950	1	RS_GCF_008274785.1
447425.SAMN10599891.GCA_003966155.1	67.5	GCA_003966155.1			4352895		RS_GCF_003966155.1
795312.SAMN12025512.GCA_014192275.1	67.6	GCA_014192275.1			4338385		RS_GCF_014192275.1
475662.SAMN07135858.GCA_002549795.1	68.4	GCA_002549795.1			4053030		RS_GCF_002549795.1
257772.SAMN12025192.GCA_014192055.1	66.2	GCA_014192055.1			4801488		RS_GCF_014192055.1
339656.SAMN02470292.GCA_000265245.1	67.9	GCA_000265245.1	1	0	3561919	1	None
2508710.SAMN10791422.GCA_004798905.1	66.1	GCA_004798905.1	1	0	3235738	0	RS_GCF_004798905.1
2109328.SAMN17125990.GCA_017303055.1	61.9	GCA_017303055.1			4576535		RS_GCF_017303055.1
2109329.SAMN08637801.GCA_003045765.1	64.1	GCA_003045765.1	1	0	4797133	1	RS_GCF_003045765.1
2562282.SAMN11269531.GCA_008329985.1	57.0	GCA_008329985.1			4895269		None
44933.SAMD00169746.GCA_007991155.1	59.6	GCA_007991155.1			4924734		RS_GCF_007991155.1
1178482.SAMN02469496.GCA_000470745.1	58.5	GCA_000470745.1	0	0	4758798	1	RS_GCF_000470745.1
2684210.SAMN13531224.GCA_009793355.1	57.1	GCA_009793355.1			3248142		RS_GCF_009793355.1
2282306.SAMN09685115.GCA_003336665.1	57.2	GCA_003336665.1			4474525		RS_GCF_003336665.1
2732867.SAMN14832834.GCA_013112225.1	55.4	GCA_013112225.1			3422918		RS_GCF_013112225.1
1486246.SAMN12206539.GCA_007625055.1	56.8	GCA_007625055.1	1	0	2575909	0	GB_GCA_007625055.1
232346.SAMN13191872.GCA_009856325.1	58.5	GCA_009856325.1			3302058		RS_GCF_009856325.1
1449798.SAMN15473303.GCA_013415105.1	56.2	GCA_013415105.1			3864100		RS_GCF_013415105.1
29571.SAMN05878437.GCA_900142895.1	60.8	GCA_900142895.1			3110197		RS_GCF_900142895.1
1238190.SAMN02470210.GCA_000334215.1	62.9	GCA_000334215.1	0	0	2847098	0	RS_GCF_000334215.1
1479235.SAMN03785500.GCA_001314875.1	59.3	GCA_001314875.1			3547532		GB_GCA_001314875.1
1666906.SAMN04488143.GCA_900086985.1	55.9	GCA_900086985.1			4144542		RS_GCF_900086985.1
2749040.SAMN15395493.GCA_014263395.1	56.9	GCA_014263395.1			3849224		RS_GCF_014263395.1
2785909.SAMN16708467.GCA_015767635.1	57.3	GCA_015767635.1			4150502		RS_GCF_015767635.1
1684425.SAMN04513427.GCA_001663515.1	57.8	GCA_001663515.1	1	0	3963288	1	RS_GCF_001663515.1
416873.SAMN04487951.GCA_900103865.1	55.9	GCA_900103865.1			4142129		RS_GCF_900103865.1
1258546.SAMN10644075.GCA_003990185.1	54.4	GCA_003990185.1			4029604		RS_GCF_003990185.1
2498858.SAMN10644074.GCA_003989825.1	55.0	GCA_003989825.1	0	1	3803855	0	RS_GCF_003989825.1
77097.SAMN15369751.GCA_020075495.1	59.7	GCA_020075495.1			3691445		None
1176243.SAMN06296467.GCA_003002925.1	59.1	GCA_003002925.1			3686518		RS_GCF_003002925.1
2487702.SAMN10346435.GCA_014861475.1	53.9	GCA_014861475.1	0	0	3708762	0	RS_GCF_014861475.1
1486246.SAMN18119625.GCA_017983445.1	54.3	GCA_017983445.1	1	0	3900197	0	GB_GCA_017983445.1
574966.SAMN02441684.GCA_000377665.1	54.5	GCA_000377665.1	1	1	4058777	0	RS_GCF_000377665.1
2042704.SAMN07682383.GCA_002374315.1	52.8	GCA_002374315.1	0	0	4929385	1	RS_GCF_002374315.1
1118153.SAMN00761066.GCA_000236625.1	53.9	GCA_000236625.1	1	0	3613819	0	None
1486246.SAMN16346160.GCA_017515565.1	53.9	GCA_017515565.1	0	1	3755276	0	GB_GCA_017515565.1
232346.SAMN02691833.GCA_000712975.1	51.9	GCA_000712975.1	1	0	3797897	0	RS_GCF_000712975.1
447567.SAMN10644076.GCA_003989795.1	52.1	GCA_003989795.1			3907727		RS_GCF_003989795.1
999141.SAMN02471291.GCA_000219565.1	52.6	GCA_000219565.1	1	0	4091699	0	RS_GCF_000219565.1
272774.SAMN08007747.GCA_003612795.1	52.7	GCA_003612795.1	1	0	4029514	1	RS_GCF_003612795.1
1913989.SAMN13827034.GCA_018223005.1	52.7	GCA_018223005.1	1	0	4240696	1	GB_GCA_018223005.1
272774.SAMN13528728.GCA_010179695.1	53.1	GCA_010179695.1			3803384		RS_GCF_010179695.1
1602943.SAMD00245020.GCA_014640815.1	56.0	GCA_014640815.1			3704792		RS_GCF_014640815.1
29570.SAMN07956710.GCA_009846525.1	58.1	GCA_009846525.1	0	1	3860077	0	RS_GCF_009846525.1
2585770.SAMN11951961.GCA_006228115.1	58.3	GCA_006228115.1	1	0	3720962	1	RS_GCF_006228115.1
115555.SAMN03295279.GCA_001576535.1	56.9	GCA_001576535.1	1	0	3617176	1	RS_GCF_001576535.1
115555.SAMN10907660.GCA_007163885.1	56.8	GCA_007163885.1			3619799		None
1177117.SAMN02472261.GCA_000275725.1	60.2	GCA_000275725.1	1	1	3693745	0	RS_GCF_000275725.1
31910.SAMD00169747.GCA_007991175.1	55.8	GCA_007991175.1			3729154		RS_GCF_007991175.1
1123773.SAMN05415087.GCA_001882345.1	54.7	GCA_001882345.1			4155338		RS_GCF_001882345.1
223527.SAMN18948245.GCA_018310235.1	55.0	GCA_018310235.1	0	0	4960786	1	RS_GCF_018310235.1
1204738.SAMN02471939.GCA_000336575.1	54.6	GCA_000336575.1	1	1	5339792	1	RS_GCF_000336575.1
115551.SAMN15676491.GCA_019903445.1	55.0	GCA_019903445.1	1	0	4903283	0	None
1072583.SAMN02471366.GCA_000236035.1	54.7	GCA_000236035.1	1	0	4208238	1	RS_GCF_000236035.1
2819146.SAMN18299034.GCA_018612735.1	54.3	GCA_018612735.1			4827114		RS_GCF_018612735.1
664683.SAMN12260203.GCA_007786325.1	54.9	GCA_007786325.1	1	0	5069469	1	RS_GCF_007786325.1
115553.SAMN10888055.GCA_007182875.1	53.7	GCA_007182875.1			4480770		GB_GCA_007182875.1
390919.SAMN10879974.GCA_004295565.1	55.3	GCA_004295565.1			4998083		GB_GCA_004295565.1
115553.SAMN09509732.GCA_003298795.1	53.8	GCA_003298795.1	1	0	4254519	1	RS_GCF_003298795.1
173971.SAMEA9694274.GCA_913058465.1	55.0	GCA_913058465.1	1	0	4150066	0	None
2058321.SAMN08125773.GCA_002836035.1	54.6	GCA_002836035.1	1	0	4487593	1	RS_GCF_002836035.1
1486246.SAMN10237348.GCA_007692655.1	53.9	GCA_007692655.1	1	0	4049841	0	GB_GCA_007692655.1
1486246.SAMN09638515.GCA_011050415.1	52.9	GCA_011050415.1	0	0	4709618	1	GB_GCA_011050415.1
1635257.SAMN03445111.GCA_001507855.1	54.8	GCA_001507855.1			3564665		GB_GCA_001507855.1
2487701.SAMN10346434.GCA_014861495.1	53.8	GCA_014861495.1	1	0	3858166	1	RS_GCF_014861495.1
77098.SAMN17006114.GCA_016056335.1	67.1	GCA_016056335.1			3866045		RS_GCF_016056335.1
2730357.SAMN14678003.GCA_013000965.1	61.7	GCA_013000965.1	0	1	3732595	1	RS_GCF_013000965.1
1883416.SAMN05417700.GCA_001971685.1	65.3	GCA_001971685.1			4129523		RS_GCF_001971685.1
2032625.SAMN07573017.GCA_002286975.1	63.8	GCA_002286975.1	1	0	5475884	1	RS_GCF_002286975.1
48727.SAMN05192555.GCA_900102875.1	63.9	GCA_900102875.1			4402189		RS_GCF_900102875.1
2773305.SAMN16203731.GCA_014779595.1	63.4	GCA_014779595.1			4804400		RS_GCF_014779595.1
1055101.SAMN12612893.GCA_009931455.1	62.3	GCA_009931455.1	1	1	4195186	0	RS_GCF_009931455.1
2589994.SAMN12071512.GCA_013376735.1	62.3	GCA_013376735.1	1	1	4134244	1	GB_GCA_013376735.1
553385.SAMN02640257.GCA_000591415.1	57.5	GCA_000591415.1	1	0	4049952	1	RS_GCF_000591415.1
2686360.SAMN13567890.GCA_009796845.1	57.7	GCA_009796845.1	0	1	4118938	0	RS_GCF_009796845.1
197479.SAMN05589748.GCA_001709345.1	51.3	GCA_001709345.1			4048029		RS_GCF_001709345.1
1122252.SAMN05660443.GCA_900112235.1	50.4	GCA_900112235.1			3083561		RS_GCF_900112235.1
1982602.SAMN09078362.GCA_003336805.1	53.4	GCA_003336805.1			3072778		RS_GCF_003336805.1
1122209.SAMN02745752.GCA_900119735.1	54.6	GCA_900119735.1			3137549		RS_GCF_900119735.1
